Year,Sexe,Edat,Value
2020,,<30,231931.0
2019,,<30,231649.5
2018,,<30,230851.0
2017,,<30,229856.5
2016,,<30,228691.0
2015,,<30,228480.5
2014,,<30,229371.0
2013,,<30,233302.5
2012,,<30,238737.0
2011,,<30,243240.0
2010,,<30,248902.0
2009,,<30,256155.0
2019,,<30,0.43
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.44
2015,,<30,0.44
2014,,<30,0.87
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,0.0
2019,,30 a 69,11.0
2018,,30 a 69,9.0
2017,,30 a 69,11.0
2016,,30 a 69,17.0
2015,,30 a 69,22.0
2014,,30 a 69,22.0
2013,,30 a 69,28.0
2012,,30 a 69,27.0
2011,,30 a 69,39.0
2010,,30 a 69,28.0
2009,,30 a 69,37.0
2021,,30 a 69,443306.0
2020,,30 a 69,444573.0
2019,,30 a 69,443420.0
2018,,30 a 69,447987.0
2017,,30 a 69,445716.0
2016,,30 a 69,447409.0
2015,,30 a 69,445680.0
2014,,30 a 69,445536.0
2013,,30 a 69,448634.0
2012,,30 a 69,449432.0
2011,,30 a 69,447498.0
2010,,30 a 69,452663.0
2009,,30 a 69,450097.0
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608.0
2013,,30 a 69,447085.0
2012,,30 a 69,449033.0
2011,,30 a 69,448465.0
2010,,30 a 69,450080.5
2009,,30 a 69,451380.0
2019,,30 a 69,2.48
2018,,30 a 69,2.02
2017,,30 a 69,2.46
2016,,30 a 69,3.81
2015,,30 a 69,4.93
2014,,30 a 69,4.94
2013,,30 a 69,6.26
2012,,30 a 69,6.01
2011,,30 a 69,8.7
2010,,30 a 69,6.22
2009,,30 a 69,8.2
2019,,>=70,1.0
2018,,>=70,1.0
2017,,>=70,1.0
2016,,>=70,0.0
2015,,>=70,5.0
2014,,>=70,0.0
2013,,>=70,0.0
2012,,>=70,0.0
2011,,>=70,2.0
2010,,>=70,1.0
2009,,>=70,1.0
2021,,>=70,125609.0
2020,,>=70,124375.0
2019,,>=70,121614.0
2018,,>=70,119551.0
2017,,>=70,117657.0
2016,,>=70,115554.0
2015,,>=70,113294.0
2014,,>=70,111315.0
2013,,>=70,109439.0
2012,,>=70,108437.0
2011,,>=70,107810.0
2010,,>=70,105138.0
2009,,>=70,105676.0
2020,,>=70,124992.0
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604.0
2016,,>=70,116605.5
2015,,>=70,114424.0
2014,,>=70,112304.5
2013,,>=70,110377.0
2012,,>=70,108938.0
2011,,>=70,108123.5
2010,,>=70,106474.0
2009,,>=70,105407.0
2019,,>=70,0.81
2018,,>=70,0.83
2017,,>=70,0.84
2016,,>=70,0.0
2015,,>=70,4.37
2014,,>=70,0.0
2013,,>=70,0.0
2012,,>=70,0.0
2011,,>=70,1.85
2010,,>=70,0.94
2009,,>=70,0.95
