Year,Sexo,Edad,Value
2015,Hombres,,3.98
2014,Hombres,,2.93
2013,Hombres,,3.17
2012,Hombres,,3.93
2011,Hombres,,2.87
2010,Hombres,,3.87
2009,Hombres,,4.34
2019,Mujeres,,4.0
2018,Mujeres,,6.0
2017,Mujeres,,12.0
2016,Mujeres,,12.0
2015,Mujeres,,14.0
2014,Mujeres,,9.0
2013,Mujeres,,13.0
2012,Mujeres,,7.0
2011,Mujeres,,17.0
2010,Mujeres,,15.0
2009,Mujeres,,17.0
2021,Mujeres,,419905.0
2020,Mujeres,,420428.0
2019,Mujeres,,417305.0
2018,Mujeres,,417731.0
2017,Mujeres,,414368.0
2016,Mujeres,,413350.0
2015,Mujeres,,411124.0
2014,Mujeres,,411349.0
2013,Mujeres,,414101.0
2012,Mujeres,,415943.0
2011,Mujeres,,416310.0
2010,Mujeres,,420151.0
2009,Mujeres,,422082.0
2020,Mujeres,,420166.5
2019,Mujeres,,418866.5
2018,Mujeres,,417518.0
2017,Mujeres,,416049.5
2016,Mujeres,,413859.0
2015,Mujeres,,412237.0
2014,Mujeres,,411236.5
2013,Mujeres,,412725.0
2012,Mujeres,,415022.0
2011,Mujeres,,416126.5
2010,Mujeres,,418230.5
2009,Mujeres,,421116.5
2019,Mujeres,,0.95
2018,Mujeres,,1.44
2017,Mujeres,,2.88
2016,Mujeres,,2.9
2015,Mujeres,,3.4
2014,Mujeres,,2.19
2013,Mujeres,,3.15
2012,Mujeres,,1.69
2011,Mujeres,,4.09
2010,Mujeres,,3.59
2009,Mujeres,,4.04
2019,,<30,0.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.0
2015,,<30,0.0
2014,,<30,0.0
2013,,<30,1.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,1.0
2021,,<30,231265.0
2020,,<30,232597.0
2019,,<30,230702.0
2018,,<30,231000.0
2017,,<30,228713.0
2016,,<30,228669.0
2015,,<30,228292.0
2014,,<30,230450.0
2013,,<30,236155.0
2012,,<30,241319.0
2011,,<30,245161.0
2010,,<30,252643.0
2009,,<30,259667.0
2020,,<30,231931.0
2019,,<30,231649.5
2018,,<30,230851.0
2017,,<30,229856.5
2016,,<30,228691.0
2015,,<30,228480.5
2014,,<30,229371.0
2013,,<30,233302.5
2012,,<30,238737.0
2011,,<30,243240.0
2010,,<30,248902.0
2009,,<30,256155.0
2019,,<30,0.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.0
2015,,<30,0.0
2014,,<30,0.0
2013,,<30,0.43
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,0.39
2019,,30 a 69,6.0
2018,,30 a 69,4.0
2017,,30 a 69,8.0
2016,,30 a 69,9.0
2015,,30 a 69,13.0
2014,,30 a 69,6.0
2013,,30 a 69,9.0
2012,,30 a 69,14.0
2011,,30 a 69,9.0
2010,,30 a 69,10.0
2009,,30 a 69,11.0
2021,,30 a 69,443306.0
2020,,30 a 69,444573.0
2019,,30 a 69,443420.0
2018,,30 a 69,447987.0
2017,,30 a 69,445716.0
2016,,30 a 69,447409.0
2015,,30 a 69,445680.0
2014,,30 a 69,445536.0
2013,,30 a 69,448634.0
2012,,30 a 69,449432.0
2011,,30 a 69,447498.0
2010,,30 a 69,452663.0
2009,,30 a 69,450097.0
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608.0
2013,,30 a 69,447085.0
2012,,30 a 69,449033.0
2011,,30 a 69,448465.0
2010,,30 a 69,450080.5
2009,,30 a 69,451380.0
2019,,30 a 69,1.35
2018,,30 a 69,0.9
2017,,30 a 69,1.79
2016,,30 a 69,2.02
2015,,30 a 69,2.91
2014,,30 a 69,1.35
2013,,30 a 69,2.01
2012,,30 a 69,3.12
2011,,30 a 69,2.01
2010,,30 a 69,2.22
2009,,30 a 69,2.44
2019,,>=70,5.0
2018,,>=70,7.0
2017,,>=70,15.0
2016,,>=70,13.0
2015,,>=70,16.0
2014,,>=70,14.0
2013,,>=70,15.0
2012,,>=70,8.0
2011,,>=70,19.0
2010,,>=70,20.0
2009,,>=70,22.0
2021,,>=70,125609.0
2020,,>=70,124375.0
2019,,>=70,121614.0
2018,,>=70,119551.0
2017,,>=70,117657.0
2016,,>=70,115554.0
2015,,>=70,113294.0
2014,,>=70,111315.0
2013,,>=70,109439.0
2012,,>=70,108437.0
2011,,>=70,107810.0
2010,,>=70,105138.0
2009,,>=70,105676.0
2020,,>=70,124992.0
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604.0
2016,,>=70,116605.5
2015,,>=70,114424.0
2014,,>=70,112304.5
2013,,>=70,110377.0
2012,,>=70,108938.0
2011,,>=70,108123.5
2010,,>=70,106474.0
2009,,>=70,105407.0
2019,,>=70,4.07
2018,,>=70,5.81
2017,,>=70,12.65
2016,,>=70,11.15
2015,,>=70,13.98
2014,,>=70,12.47
2013,,>=70,13.59
2012,,>=70,7.34
2011,,>=70,17.57
2010,,>=70,18.78
2009,,>=70,20.87
