Year,Gender,Age,Value
2018,,>=70,6
2017,,>=70,5
2016,,>=70,2
2015,,>=70,2
2014,,>=70,4
2013,,>=70,4
2012,,>=70,3
2011,,>=70,0
2010,,>=70,1
2009,,>=70,0
2021,,>=70,125609
2020,,>=70,124375
2019,,>=70,121614
2018,,>=70,119551
2017,,>=70,117657
2016,,>=70,115554
2015,,>=70,113294
2014,,>=70,111315
2013,,>=70,109439
2012,,>=70,108437
2011,,>=70,107810
2010,,>=70,105138
2009,,>=70,105676
2020,,>=70,124992
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604
2016,,>=70,116605.5
2015,,>=70,114424
2014,,>=70,112304.5
2013,,>=70,110377
2012,,>=70,108938
2011,,>=70,108123.5
2010,,>=70,106474
2009,,>=70,105407
2019,,>=70,1.63
2018,,>=70,4.98
2017,,>=70,4.22
2016,,>=70,1.72
2015,,>=70,1.75
2014,,>=70,3.56
2013,,>=70,3.62
2012,,>=70,2.75
2011,,>=70,0
2010,,>=70,0.94
2009,,>=70,0
