Year,Gender,Age,Value
2013,Women,,414101
2012,Women,,415943
2011,Women,,416310
2010,Women,,420151
2009,Women,,422082
2020,Women,,420166.5
2019,Women,,418866.5
2018,Women,,417518
2017,Women,,416049.5
2016,Women,,413859
2015,Women,,412237
2014,Women,,411236.5
2013,Women,,412725
2012,Women,,415022
2011,Women,,416126.5
2010,Women,,418230.5
2009,Women,,421116.5
2019,Women,,28.65
2018,Women,,33.05
2017,Women,,31.01
2016,Women,,24.89
2015,Women,,23.77
2014,Women,,28.21
2013,Women,,20.35
2012,Women,,30.84
2011,Women,,27.88
2010,Women,,27.5
2009,Women,,25.17
2019,,<30,0
2018,,<30,1
2017,,<30,0
2016,,<30,1
2015,,<30,0
2014,,<30,2
2013,,<30,0
2012,,<30,0
2011,,<30,0
2010,,<30,5
2009,,<30,1
2021,,<30,231265
2020,,<30,232597
2019,,<30,230702
2018,,<30,231000
2017,,<30,228713
2016,,<30,228669
2015,,<30,228292
2014,,<30,230450
2013,,<30,236155
2012,,<30,241319
2011,,<30,245161
2010,,<30,252643
2009,,<30,259667
2020,,<30,231931
2019,,<30,231649.5
2018,,<30,230851
2017,,<30,229856.5
2016,,<30,228691
2015,,<30,228480.5
2014,,<30,229371
2013,,<30,233302.5
2012,,<30,238737
2011,,<30,243240
2010,,<30,248902
2009,,<30,256155
2019,,<30,0
2018,,<30,0.43
2017,,<30,0
2016,,<30,0.44
2015,,<30,0
2014,,<30,0.87
2013,,<30,0
2012,,<30,0
2011,,<30,0
2010,,<30,2.01
2009,,<30,0.39
2019,,30 a 69,28
2018,,30 a 69,37
2017,,30 a 69,15
2016,,30 a 69,18
2015,,30 a 69,18
2014,,30 a 69,34
2013,,30 a 69,22
2012,,30 a 69,29
2011,,30 a 69,26
2010,,30 a 69,23
2009,,30 a 69,24
2021,,30 a 69,443306
2020,,30 a 69,444573
2019,,30 a 69,443420
2018,,30 a 69,447987
2017,,30 a 69,445716
2016,,30 a 69,447409
2015,,30 a 69,445680
2014,,30 a 69,445536
2013,,30 a 69,448634
2012,,30 a 69,449432
2011,,30 a 69,447498
2010,,30 a 69,452663
2009,,30 a 69,450097
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608
2013,,30 a 69,447085
2012,,30 a 69,449033
2011,,30 a 69,448465
2010,,30 a 69,450080.5
2009,,30 a 69,451380
2019,,30 a 69,6.31
2018,,30 a 69,8.3
2017,,30 a 69,3.36
2016,,30 a 69,4.03
2015,,30 a 69,4.03
2014,,30 a 69,7.63
2013,,30 a 69,4.92
2012,,30 a 69,6.46
2011,,30 a 69,5.8
2010,,30 a 69,5.11
2009,,30 a 69,5.32
2019,,>=70,201
2018,,>=70,255
2017,,>=70,233
2016,,>=70,187
2015,,>=70,191
2014,,>=70,179
2013,,>=70,151
2012,,>=70,208
2011,,>=70,198
2010,,>=70,188
2009,,>=70,199
2021,,>=70,125609
2020,,>=70,124375
2019,,>=70,121614
2018,,>=70,119551
2017,,>=70,117657
2016,,>=70,115554
2015,,>=70,113294
2014,,>=70,111315
2013,,>=70,109439
2012,,>=70,108437
2011,,>=70,107810
2010,,>=70,105138
2009,,>=70,105676
2020,,>=70,124992
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604
2016,,>=70,116605.5
2015,,>=70,114424
2014,,>=70,112304.5
2013,,>=70,110377
2012,,>=70,108938
2011,,>=70,108123.5
2010,,>=70,106474
2009,,>=70,105407
2019,,>=70,163.42
2018,,>=70,211.47
2017,,>=70,196.45
2016,,>=70,160.37
2015,,>=70,166.92
2014,,>=70,159.39
2013,,>=70,136.8
2012,,>=70,190.93
2011,,>=70,183.12
2010,,>=70,176.57
2009,,>=70,188.79
