Year,Sexo,GeoCode,Value
2019,,17.0,110
2020,,17.0,122
2021,,17.0,107
2009,,18.0,180
2010,,18.0,213
2011,,18.0,210
2012,,18.0,230
2013,,18.0,232
2014,,18.0,236
2015,,18.0,251
2016,,18.0,249
2017,,18.0,256
2018,,18.0,250
2019,,18.0,272
2020,,18.0,280
2021,,18.0,256
2009,,19.0,278
2010,,19.0,300
2011,,19.0,321
2012,,19.0,321
2013,,19.0,307
2014,,19.0,347
2015,,19.0,338
2016,,19.0,357
2017,,19.0,341
2018,,19.0,344
2019,,19.0,348
2020,,19.0,359
2021,,19.0,366
